ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore
q1420208	1	1	22	0	3	18	10	0	0	10	12	0	3	12
q1386250	1	1	20	2	3	15	10	0	0	10	10	2	3	9
q1381225	1	1	21	3	1	16	10	0	0	10	11	3	1	10
q1353686	1	1	17	6	2	12	9	1	0	9	8	5	2	6
q1343695	1	1	19	6	0	14	10	0	0	10	9	6	0	7
J978755	1	1	22	3	0	17	10	0	0	10	12	3	0	11
J978754	1	1	19	3	3	14	9	1	0	9	10	2	3	9
J978753	1	1	20	4	1	15	9	1	0	9	11	3	1	10
q1346592	1	1	25	0	0	20	10	0	0	10	15	0	0	15
J978752	1	1	22	2	1	17	9	0	1	9	13	2	0	12
q1376972	1	1	21	3	1	16	9	1	0	9	12	2	1	11
q1395780	1	1	15	6	4	10	8	1	1	8	7	5	3	5
J978751	1	1	23	2	0	18	10	0	0	10	13	2	0	12
J978750	1	1	24	1	0	19	10	0	0	10	14	1	0	14
J978749	1	1	20	3	2	15	8	2	0	7	12	1	2	12
J978747	1	1	20	4	1	15	10	0	0	10	10	4	1	9
J978743	1	0	14	9	2	9	8	2	0	7	6	7	2	4
J978742	1	1	20	2	3	15	9	0	1	9	11	2	2	10
q1216554	1	1	21	2	2	16	10	0	0	10	11	2	2	10
q1166487	1	0	11	6	8	7	6	2	2	5	5	4	6	4
q1166482	1	0	11	4	10	8	6	2	2	5	5	2	8	4
q1166480	1	0	9	3	13	6	7	1	2	7	2	2	11	1
q1218189	1	1	14	4	7	10	8	2	0	7	6	2	7	5
