ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	chemie_fysicaJuist	chemie_fysicaFout	chemie_fysicaBlanco	chemie_fysicaScore
34083	1	1	15	3	4	13	11	2	3	10	4	1	1	4
34351	1	1	19	3	0	16	14	2	0	13	5	1	0	5
34407	1	1	15	3	4	13	10	2	4	9	5	1	0	5
34276	1	0	12	10	0	8	9	7	0	7	3	3	0	2
33991	1	1	19	2	1	17	15	1	0	15	4	1	1	4
34379	1	1	16	6	0	13	13	3	0	12	3	3	0	2
34156	1	1	16	1	5	14	10	1	5	10	6	0	0	6
34394	1	1	19	1	2	17	16	0	0	16	3	1	2	3
34056	1	1	18	4	0	15	14	2	0	13	4	2	0	3
34527	1	1	20	2	0	18	16	0	0	16	4	2	0	3
34720	1	1	20	2	0	18	15	1	0	15	5	1	0	5
34122	1	1	21	1	0	19	15	1	0	15	6	0	0	6
34191	1	1	22	0	0	20	16	0	0	16	6	0	0	6
34652	1	0	11	11	0	7	8	8	0	5	3	3	0	2
34231	1	1	15	7	0	12	13	3	0	12	2	4	0	1
34819	1	1	18	0	4	16	16	0	0	16	2	0	4	2
34826	1	1	16	4	2	13	12	3	1	11	4	1	1	4
34121	1	1	19	1	2	17	14	1	1	14	5	0	1	5
34658	1	1	22	0	0	20	16	0	0	16	6	0	0	6
34648	1	1	16	6	0	13	13	3	0	12	3	3	0	2
34371	1	1	16	3	3	14	14	2	0	13	2	1	3	2
33973	1	0	10	10	2	6	8	6	2	6	2	4	0	1
34158	1	0	13	8	1	9	10	5	1	8	3	3	0	2
34313	1	1	20	0	2	18	14	0	2	14	6	0	0	6
34050	1	1	20	0	2	18	14	0	2	14	6	0	0	6
34015	1	1	13	1	8	12	12	1	3	12	1	0	5	1
34397	1	1	15	3	4	13	13	2	1	12	2	1	3	2
34365	1	1	18	4	0	15	12	4	0	11	6	0	0	6
34522	1	1	20	2	0	18	15	1	0	15	5	1	0	5
33999	1	1	18	2	2	16	13	2	1	12	5	0	1	5
