feedbackCode	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35	vraag36	vraag37	vraag38	vraag39	vraag40
13hi94924	1	X	C	D	B	X	B	D	E	E	B	E	A	C	A	D	A	X	C	B	E	B	E	C	X	C	X	C	A	E	C	X	B	C	X	A	X	C	A	X	C
13hi11050	1	X	C	A	B	B	A	D	D	B	B	E	A	C	A	D	A	X	A	X	E	B	D	B	E	B	C	C	X	X	C	X	B	D	A	X	X	D	A	E	B
13hi22586	1	X	C	D	B	E	B	X	E	B	B	E	A	C	A	D	A	D	E	X	E	B	E	X	B	X	C	C	X	X	C	X	B	C	X	A	X	X	X	X	E
13hi25423	1	D	D	D	C	C	A	D	D	A	C	E	A	C	A	D	A	E	C	X	E	B	E	B	B	C	C	C	X	B	X	X	B	C	D	E	X	D	A	A	C
13hi36411	1	D	C	D	C	E	B	D	E	A	B	E	C	C	A	B	B	E	X	B	E	B	E	B	B	C	C	A	E	B	C	D	E	D	A	X	E	B	A	A	D
13hi36247	1	D	A	D	B	C	A	D	D	E	B	C	D	C	A	D	B	E	C	B	E	X	E	C	B	A	C	X	E	C	C	X	B	B	A	A	B	D	X	D	D
13hi47920	1	D	C	D	X	B	B	D	E	E	B	E	B	C	A	D	A	D	C	B	E	B	D	B	B	B	X	D	X	C	C	X	X	X	A	C	E	B	X	E	C
13hi15629	1	D	C	C	B	C	B	B	D	A	X	E	D	C	A	D	A	E	C	B	E	B	E	B	C	C	C	C	A	B	D	X	B	X	X	A	D	B	X	A	B
13hi38984	1	E	A	D	B	C	B	X	D	B	B	E	A	C	A	D	A	E	C	B	E	B	X	X	X	C	C	C	A	B	C	X	B	E	X	A	X	D	A	E	C
13hi58107	1	X	C	X	B	X	A	D	D	A	B	E	B	C	A	D	A	E	C	B	E	D	E	A	C	X	E	C	X	B	B	A	C	X	B	X	X	X	X	X	E
13hi71426	1	D	C	D	B	C	B	D	D	B	B	E	A	C	A	D	X	E	E	B	E	B	E	B	C	X	C	C	X	B	C	X	B	X	E	A	E	D	A	E	D
13hi49050	1	A	C	D	B	E	B	D	D	B	B	E	A	C	A	D	A	E	A	B	E	B	D	B	C	B	B	C	X	E	C	D	B	D	A	A	D	X	X	X	D
13hi98950	1	D	C	D	B	C	A	D	D	B	B	E	A	C	A	D	A	E	C	B	E	B	D	X	C	C	C	A	A	B	C	D	B	X	C	A	E	D	A	E	X
13hi88235	1	X	C	D	D	B	A	D	D	B	B	E	A	C	A	D	A	X	X	B	E	B	B	X	C	E	C	C	A	X	C	X	B	X	X	A	E	X	A	X	X
13hi47479	1	D	C	B	B	C	A	D	D	B	B	E	A	C	A	D	A	A	C	B	E	B	B	A	C	A	C	C	X	C	D	X	B	C	A	X	E	D	A	X	C
13hi32901	1	D	C	D	A	C	A	D	D	E	B	E	A	C	A	D	A	E	C	B	E	B	E	C	C	B	C	C	B	X	C	X	B	X	C	A	E	B	A	X	C
