ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	ruimtelijkJuist	ruimtelijkFout	ruimtelijkBlanco	ruimtelijkScore
30864	1	1	16	3	3	14	12	3	3	12	6	1	1	7	6	2	2	11	4	0	0	10
30992	1	1	14	4	4	12	10	4	4	10	5	2	1	5	5	2	3	9	4	0	0	10
31080	1	1	14	5	3	11	11	4	3	11	5	2	1	5	6	2	2	11	3	1	0	7
30919	1	1	14	1	7	12	11	1	6	12	7	1	0	8	4	0	6	8	3	0	1	8
31008	1	0	7	14	1	2	7	10	1	4	2	6	0	0	5	4	1	7	0	4	0	0
30954	1	0	4	11	7	0	3	8	7	0	2	4	2	1	1	4	5	0	1	3	0	0
30841	1	0	5	14	3	0	3	12	3	0	1	7	0	0	2	5	3	1	2	2	0	3
30839	1	1	17	5	0	14	14	4	0	14	6	2	0	7	8	2	0	15	3	1	0	7
30852	1	0	9	7	6	6	7	6	5	6	3	3	2	3	4	3	3	6	2	1	1	4
31052	1	0	8	6	8	5	6	5	7	5	2	5	1	0	4	0	6	8	2	1	1	4
30966	1	1	16	1	5	14	12	1	5	13	7	1	0	8	5	0	5	10	4	0	0	10
30983	1	0	11	11	0	7	8	10	0	5	5	3	0	5	3	7	0	1	3	1	0	7
30846	1	0	9	5	8	7	6	4	8	5	3	3	2	3	3	1	6	5	3	1	0	7
30861	1	0	5	12	5	1	5	8	5	3	3	4	1	2	2	4	4	1	0	4	0	0
31044	1	1	17	2	3	15	14	1	3	15	8	0	0	10	6	1	3	11	3	1	0	7
30874	1	1	14	4	4	12	10	4	4	10	5	2	1	5	5	2	3	9	4	0	0	10
31074	1	0	11	8	3	8	9	7	2	7	5	1	2	6	4	6	0	4	2	1	1	4
31028	1	1	15	6	1	12	12	5	1	11	5	3	0	5	7	2	1	13	3	1	0	7
31360	1	1	20	0	2	18	17	0	1	19	8	0	0	10	9	0	1	18	3	0	1	8
31167	1	1	15	2	5	13	12	1	5	13	7	1	0	8	5	0	5	10	3	1	0	7
31244	1	0	11	6	5	8	8	5	5	7	4	3	1	4	4	2	4	7	3	1	0	7
31346	1	0	10	2	10	8	6	2	10	6	4	2	2	4	2	0	8	4	4	0	0	10
31216	1	1	14	2	6	12	11	2	5	11	7	1	0	8	4	1	5	7	3	0	1	8
31342	1	1	17	2	3	15	14	1	3	15	7	1	0	8	7	0	3	14	3	1	0	7
31201	1	1	19	2	1	17	15	2	1	16	7	1	0	8	8	1	1	15	4	0	0	10
31198	1	0	13	5	4	10	9	5	4	8	5	2	1	5	4	3	3	6	4	0	0	10
31256	1	1	14	2	6	12	10	2	6	10	6	1	1	7	4	1	5	7	4	0	0	10
